x,y,z,qx,qy,qz,qw,speed
89649,43162.3,0,0,0,-0.20134,0.979521,8.33333
89651.8,43161.1,0,0,0,-0.195738,0.980656,9.61111
89654.5,43159.9,0,0,0,-0.0527849,0.998606,9.61111
89658,43159.8,0,0,0,0.280956,0.959721,9.61111
89660.6,43161.5,-2.42343e-05,0,0,0.420905,0.907105,9.61111
89663.1,43163.9,-3.00665e-05,0,0,0.544986,0.838445,9.61111
89664.2,43166.4,-3.00665e-05,0,0,0.358858,0.933392,9.61111
89666.4,43168.4,-6.05238e-05,0,0,0.212301,0.977204,8.33333
89669.2,43169.6,-6.10026e-05,0,0,0.0477415,0.99886,8.33333
89672,43169.9,-5.94036e-05,0,0,-0.288589,0.957453,8.33333
89674.1,43168.5,-3.00665e-05,0,0,-0.369067,0.929403,8.33333
89675.9,43166.8,0,0,0,-0.382517,0.923948,9.61111
89677.4,43165,0,0,0,-0.478133,0.878288,9.61111
89678.9,43162.7,0,0,0,-0.601335,0.798997,9.61111
89679.7,43159.8,0,0,0,-0.706174,0.708039,9.61111
89679.7,43156.9,0,0,0,-0.808032,0.589138,9.61111
89678.8,43154.1,0,0,0,-0.885312,0.464997,9.61111
89677.1,43151.6,0,0,0,-0.940498,0.339798,9.61111
89674.3,43149.9,0,0,0,-0.954254,0.298997,9.61111
89671.6,43149.1,0,0,0,-0.954126,0.299406,9.61111
89668.8,43148.5,0,0,0,-0.964666,0.263476,9.61111
89666.3,43148.1,0,0,0,-0.988174,0.153339,9.61111
89663.4,43147.2,-2.63951e-05,0,0,-0.969886,0.243557,9.61111
89660.3,43145.2,0,0,0,-0.887189,0.461407,9.61111
89658.7,43142.9,0,0,0,-0.860921,0.508739,9.61111
89657.4,43139.9,0,0,0,-0.717523,0.696535,9.61111
89657.1,43137.1,0,0,0,-0.706152,0.70806,9.61111
89657.1,43134.4,0,0,0,-0.762022,0.647551,9.61111
89656.6,43131.7,0,0,0,-0.796114,0.605147,9.61111
89655.9,43129.1,0,0,0,-0.750604,0.660752,9.61111
89654.5,43127,-5.9438e-05,0,0,-0.895237,0.445591,9.61111
89653.2,43125.3,-9.15527e-05,0,0,-0.872239,0.48908,9.61111
89651.5,43123.7,-9.15527e-05,0,0,-0.981985,0.188959,9.61111
89649.5,43122.9,0,0,0,-0.999563,0.0295599,9.61111
89647.2,43122.8,0,0,0,0.997858,0.0654132,9.61111
89644.8,43123.1,0,0,0,0.993195,0.116467,9.61111
89642.4,43123.7,0,0,0,0.990602,0.136777,9.61111
89639.6,43124.5,0,0,0,0.982079,0.188468,9.61111
89636.7,43125.6,0,0,0,0.973216,0.229895,9.61111
89634.2,43127,0,0,0,0.940954,0.338535,9.61111
89631.4,43129.9,0,0,0,0.998433,0.0559613,9.61111
89629.6,43131.4,-3.05093e-05,0,0,0.928133,0.37225,9.61111
