default, 0.0, 2.0, 4.0, 6.0, 8.0, 10.0
0.0,    -0.3, -0.3, -0.3, -0.3, -0.3, -0.3
0.1,     0.0,  0.0,  0.0,  0.0,  0.0,  0.0
0.2,    0.15, 0.14, 0.13, 0.12, 0.11, 0.10
0.3,    0.30, 0.28, 0.26, 0.24, 0.22, 0.20
0.4,    0.50, 0.48, 0.45, 0.42, 0.39, 0.36
0.5,    0.70, 0.67, 0.63, 0.59, 0.55, 0.51
0.6,    0.90, 0.86, 0.81, 0.76, 0.71, 0.66
0.7,    1.10, 1.05, 0.99, 0.93, 0.87, 0.81
0.8,    1.30, 1.24, 1.17, 1.10, 1.03, 0.96
0.9,    1.60, 1.52, 1.44, 1.36, 1.28, 1.20
1.0,    2.00, 1.90, 1.80, 1.70, 1.60, 1.50
